中央机构,地市级政府,区县级政府,乡镇级政府,村委会,居委会,街道办,公安机关,公证处,法院,司法局,检察院,消防局,工商局,税务局,财政局,民政局,交管局,电信局,测绘院/勘测院/规划院,海关,"委,办,局",档案馆,产权交易中心,涉外机构,驻地机构,党派团体,福利机构
,深圳市人民政府侨务办公室,南山区国资委,观澜街道劳务工信息处理办公室,,,,公明派出所公明社区警务室,,,,,,,,,,蛇口港公安局交警大队客运站中队,,,,湖景社区劳动保障窗口,,,,徐州市人民政府驻深圳办事处,赤尾社区计划生育协会,星光老年之家福利彩票资助湖宾社区
,深圳市报刊发行局,南山区文化局文化市场管理科,观澜街道劳动管理办公室,,,,共和警务室,,,,,,,,,,深圳市公安局交通警察局民治中队,,,,华富街道莲花一村社区人民调解委员会,,,,岳阳市人民政府驻深圳办事处(阳光酒店东南),赤尾社区科协,新港社区捐助接收工作点
,深圳市接待办公室,南山区房屋租赁管理办公室,观澜街道劳动管理办公室,,,,公明街道马山头社区治安联防队,,,,,,,,,,深圳市公安局交通警察局龙珠扣车场,,,,华富街道田面社区人民调解委员会,,,,岳阳市人民政府驻深圳办事处(东方广场),赤尾社区老年人协会,下梅林星光老年之家
,深圳市自学考试办公室书城注册站,南山区出租屋综合管理办公室,观澜镇处理历史遗留违法私房及生产经营性违法建筑办公室,,,,公明派出所上村上辇联防队,,,,,,,,,,深圳市公安局交通警察局醉驾处置中心,,,,华林社区劳动和社会保障窗口,,,,岳阳市人民政府驻深圳办事处(东方广场),赤尾社区计生协,阳光国际老年公寓
,深圳市物业管理招投标办公室,南山区盐务局,观澜街道水利工程管理站,,,,公明街道根竹园社区治安联防队,,,,,,,,,,深圳市福田皇岗口岸交管站,,,,海滨社区社会保障服务窗口,,,,岳阳市人民政府驻深圳办事处(东方广场),赤尾社区残联,颐和家园养老院
,深圳市普法办公室,南山区国资委,光明街道办事处,,,,共乐派出所警厂共建创安联系点,,,,,,,,,,深圳市光明新区公路局公明公路站,,,,海滨社区人民调解委员会,,,,岳阳市人民政府驻深圳办事处(阳光酒店东南),赤尾社区计划生育协会,怡景社区星光老年之家
,深圳市施工安全监督站,南头海关缉私分局,光明国土房产,,,,公明派出所下村社区治安联防队办公室,,,,,,,,,,深圳市公安局交通警察支队高速公路(梅观)大队,,,,海滨社区劳动保障窗口,,,,英德市人民政府驻深圳办事处,赤尾社区计生协,园岭街道通新岭社区星光老年之家
,深圳市物价局,南山区出租屋综合管理办公室,光明维稳及综治办公室,,,,观澜街道社会治安综合治理,,,,,,,,,,深圳市公安局交通警察支队高速公路(梅观)大队,,,,皇岗村人民调解委员会,,,,英德市人民政府驻深圳办事处,赤尾社区残联,园东社区老人日间照料中心
,深圳市标准件专业委员会,南山区政府,光明劳动管理办公室,,,,光明公安分局明安保安服务公司公明巡防中队,,,,,,,,,,深圳市公安局交通警察支队高速公路(梅观)大队,,,,华为片区综合整治办公室,,,,永定县人民政府驻深圳办事处,赤尾社区关心下一代工作委员会,园岭街道福强社区捐助接收工作点
,深圳市市场监督管理局注册分局,南山区人大常委会,光明街道城市管理行政执法队,,,,光明派出所上村社区警务室,,,,,,,,,,深圳市公安局交通警察局流塘警务室,,,,花园新村流动人口婚育证办证处,,,,园岭街道福强社区办事处,翠竹苑归国华侨联合会,养慈颐养院
,深圳市模具专业委员会,南山区盐务局,光明市政服务中心综合处理办公室,,,,高新技术园区派出所,,,,,,,,,,深圳市公安局交通警察支队车辆管理所东益机动车管理服务中心,,,,和平市场管理处,,,,银川市人民政府驻深圳办事处,翠竹社区老年人协会,园东社区老人日间照料中心
,深圳市政府,南山区国有资产管理办公室,光明街道办人民调解委员会,,,,光明派出所扣车场,,,,,,,,,,蛇口港公安局交警大队扣车场,,,,和平社区居委会水电组办公室,,,,肇庆市人民政府驻深圳办事处,慈善超市,愉天社区居民委员会社区捐助接收点
,深圳市质量技术监督局,南山区房屋租赁管理办公室,公明街道查处违法建筑领导小组办公室,,,,公明派出所,,,,,,,,,,深圳市公安局公路巡逻民警支队,,,,怀德社区应急管理办公室,,,,资阳区人民政府驻深圳办事处,翠竹街道团工委,园东社区老人日间照料中心
,深圳市安全生产监督管理局信访室,南山区余泥渣土排放管理所执法队,桂园街道纪律检查工作委员会,,,,共乐派出所,,,,,,,,,,深圳市公安局交通警察支队机动大队,,,,海乐社区出租屋管理服务中心办公室,,,,重庆市人民政府驻广东办事处,翠竹街道妇联,中华永恒慈善基金
,深圳市信息网络中心,南山区环境卫生管理总站市容环卫监督办公室,桂园街道纪律检查工作委员会,,,,广东边防办证中心,,,,,,,,,,深圳市公安局交通警察支队观澜中队,,,,河西镇社会办学管理办公室,,,,湛江市人民政府驻深圳办事处,赤尾社区残疾人联合协会,
,深圳市人大常委会信访室,南山区建设局业务办理中心,光明新区关心下一代工作委员会,,,,共乐派出所警厂共建创安联系点,,,,,,,,,,深圳市公安局交通警察支队观澜中队,,,,河西社区居委会安全安全生产办公室,,,,中国.企事业权益保护工作委员会驻广东省联络处,慈善超市,
,深圳市引进外国外智力办公室,南山区小型工程招投标服务中心,公明街道城市管理行政执法队,,,,公安部证券犯罪侦查局第三分局,,,,,,,,,,深圳市公安局交通警察支队龙岗大队第一(宝荷)扣车场,,,,河东社区劳动保障窗口,,,,中国工控网深圳办事处,臣田社区居委会计划生育协会,
,深圳市文化局,南山区环境卫生管理总站市容环卫监督办公室,公明街道办事处,,,,共乐派出所,,,,,,,,,,同乐交警大队保管场,,,,哈斯基石油合同区联合管理委员会,,,,中共湖南省驻深单位委员会,赤尾社区残疾人联合协会,
,深圳港引航站,南山区盐务局,光明新区关心下一代工作委员会,,,,公明社区警务室,,,,,,,,,,同乐交警大队保管场,,,,洪湖区劳动和社会保障窗口,,,,中共湖南省驻深单位委员会,翠湾社区残疾人联合会,
,深圳港铜鼓航道建设办公室,南山区余泥渣土排放管理所执法队,公明人民调解委员会办公室,,,,广州铁路公安局深圳公安处,,,,,,,,,,同乐交警大队保管场,,,,检验检疫办公室,,,,重庆市人民政府驻深圳办事处,翠竹街道团工委,
,深圳市交通局港航管理分局,南山区环境卫生管理总站市容环卫监督办公室,公明办事处综治信访维稳中心,,,,公明派出所办证大厅,,,,,,,,,,同乐交警大队保管场,,,,金鹏社区居民委员会人民调解委员会,,,,重庆市人民政府驻深圳办事处,赤尾社区老年人协会,
,深圳市余泥渣土排放管理办公室,南山区房屋租赁管理办公室,公明办事处普法工作领导小组办公室,,,,公安部光盘生产源鉴定中心,,,,,,,,,,文锦渡车管所,,,,嘉南社区退休管理委员会,,,,中共四川省驻深单位委员会,赤尾社区科协,
,深圳市交通局运政监督分局,南山区小型工程招投标服务中心,公明街道城市管理行政执法队,,,,广东边防办证中心,,,,,,,,,,巡逻大队扣车场,,,,嘉南社区人民调解委员会,,,,中共四川省驻深单位委员会,翠竹街道妇联,
,深圳市第一次全国污染源普查工作办公室,南山大气自动监测站,观澜街道行政服务大厅,,,,广州公安局深圳公安处笋岗车站派出所,,,,,,,,,,巡逻大队扣车场,,,,嘉南社区消防安全委员会,,,,中共青海省驻深圳单位委员会,大朗工业区-办公室,
,深圳市水上安全监督局,南山区国资委,观城工作站,,,,广东边防办证中心,,,,,,,,,,,,,,金湖社区居委会帮教协调小组,,,,长沙市人民政府驻深圳办事处(百花五路),德国东欧经济技术合作协会深圳代表处,
,深圳市港务管理局港口规费征收站,南山区房屋租赁管理办公室,国土资源和房产管理局坪地所,,,,高新技术园区派出所,,,,,,,,,,,,,,建设局,,,,长沙市人民政府驻深圳办事处(百花五路),大梅沙社区-残疾人协会,
,深圳市机动车排污监督管理办公室,南山区广播电视管理办公室,公明办事处综治信访维稳中心,,,,海山派出所(井福巷),,,,,,,,,,,,,,锦鲤新村办公室,,,,中共湖北省驻深单位委员会,东湖街道东民社区共青团服务社,
,深圳市污染减排办公室,南山区国有资产管理办公室,观澜街道办事处,,,,海湾社区警务室,,,,,,,,,,,,,,景龙社区居委会社会保障服务窗口,,,,中共湖北省驻深单位委员会,东湖街道东民社区妇女读书会,
,深圳海关国际快件监管中心报关大厅,深圳市龙华区联合整治非法营运工作领导小组办公室,观澜街道城市管理行政执法队,,,,黄贝派出所治安报警点,,,,,,,,,,,,,,居民委员会交通安全文明办公室,,,,漳州市人民政府驻深圳办事处,东湖街道东民社区老年人协会,
,深圳市房产管理局,深圳市南山区政法委员会,观澜街道集体资产管理办公室,,,,黄贝派出所户籍办证室,,,,,,,,,,,,,,金碧社区劳动保障窗口,,,,中共河北省驻深单位委员会,大康社区工会联合会,
,深圳市轨道办,深圳市数据通信局南山数据通信服务部,观澜镇处理历史遗留违法私房及生产经营性违法建筑办公室,,,,和平社区警务室,,,,,,,,,,,,,,康乐社区劳动和社会保障窗口,,,,,大鹏镇鹏城幼儿园工会委员会,
,深圳市计划局,深圳市南山区区直机关党工委,光明新区关心下一代工作委员会,,,,红南社区警务室,,,,,,,,,,,,,,罗湖社区统计点,,,,,大芬油画村美术产业工会联合会,
,深圳国际高新技术产权交易所,深圳市南山区文物管理办公室,公明人民调解委员会办公室,,,,湖贝社区警务室,,,,,,,,,,,,,,罗湖鹏兴社区出租屋综合管理办公室综合管理站,,,,,大浪街道龙胜社区计划生育协会联合会,
,深圳市文物局,深圳市南山区信息办,公明街道城市管理行政执法队,,,,黄贝派出所治安报警点,,,,,,,,,,,,,,罗湖区文化市场行政执法大队,,,,,大浪街道义工联合会,
,深圳市劳动和社会保障局工人技术考核委员会办公室,深圳市南山区环境保护局(桃园路),公明街道办事处,,,,华富治安联防大队十一中队六分队,,,,,,,,,,,,,,罗湖区田心创建文明单位办公室,,,,,大浪街道龙胜社区工会联合会,
,深圳市劳动和社会保障局涉外就业管理办公室,深圳市南山区先奇公司,公明劳动保障事务所,,,,华富治安联防大队九中队,,,,,,,,,,,,,,罗湖汝南综治办罗湖村监控室,,,,,大朗工业区办公室,
,深圳市劳动和社会保障局劳动就业管理处,深圳市南山区侨办,公明人口与计划生育办公室,,,,华富治安联防大队三中队六分队,,,,,,,,,,,,,,罗湖社区退休管理委员会,,,,,大浪社区下岭排居委会计划生育协会,
,深圳海关机关服务中心,深圳市南山区经济贸易局,公明街道计划生育服务中心,,,,华富治安联防大防四中队一分队,,,,,,,,,,,,,,罗湖区草莆鹤围村集体资产管理委员会,,,,,大浪街道归国华侨联合会,
,深圳市农民工工作领导小组办公室,深圳市南山区民族宗教局,公明街道农林水务办公室,,,,湖北省公安厅交警总队驻深圳工作站,,,,,,,,,,,,,,罗湖莲花社区出租屋综合管理办公室综合管理站,,,,,大生网球俱乐部,
,深圳市劳动和社会保障局对外劳动服务公司外企服务部,深圳市南山区发展计划局,公明劳动管理办公室(金辉路),,,,皇岗社区警务室,,,,,,,,,,,,,,罗湖新港社区出租屋综合管理办公室综合管理站,,,,,大浪社区下岭排居委会计划生育协会,
,深圳市人力资源和社会保障局(巴丁街),深圳市南山区贸发局,观澜街道安全管理委员会办公室,,,,皇岗口岸派出所,,,,,,,,,,,,,,罗湖新村建设安全文明小区办公室,,,,,大浪街道义工联合会,
,深圳市国有资产监管委,深圳市南山区计划生育局,公明办事处普法工作领导小组办公室,,,,海山派出所(碧桐海苑南),,,,,,,,,,,,,,罗湖区文化市场管理工作领导小组办公室,,,,,大浪社区居委计划生育协会,
,深圳市野生动植物保护管理处,深圳市南山区知识产权局,公明环卫站,,,,海山派出所,,,,,,,,,,,,,,罗湖社区青少年教育委员会,,,,,大浪街道归国华侨联合会,
,深圳经济特区新城检查站验证厅,深圳市南山区机关事务管理局,观澜街道爱国卫生运动委员会办公室,,,,横岗派出所,,,,,,,,,,,,,,罗湖社区卫生委员会,,,,,大生网球俱乐部,
,深圳市计划局,深圳市南山区集体资产管理办,观澜街道劳务工信息处理办公室,,,,海裕社区居委会治安保卫委员会,,,,,,,,,,,,,,罗湖区打假联合整治办,,,,,大生网球俱乐部,
,深圳市外商投资局,深圳市南山区人民政府教育督导室,观澜街道水利工程管理站,,,,蚝二社区警务室,,,,,,,,,,,,,,罗湖社区人民调解委员会,,,,,大朗工业区办公室,
,深圳市农业局,深圳市南山区台办,观澜街道直属企业资产管理办公室,,,,蚝三社区警务室,,,,,,,,,,,,,,罗湖出租屋综合管理办公室笋岗社区综合管理站,,,,,大华律盟,
,深圳市法制局,深圳市南山区旧城改造办公室,观澜街道流动人口和出租屋综合管理所,,,,和平社区警务室,,,,,,,,,,,,,,罗湖市场监督管理分局东门监管所,,,,,鼎太风华业主委员会,
,深圳市老龄工作委员会办公室,深圳市南山区环境保护局(泉园路),光明综合扣车场,,,,和平举居委治安联防队,,,,,,,,,,,,,,罗湖区草莆独树村集体资产管理委员会,,,,,大浪社区工作站残疾人协会,
,深圳市规划土地监察局,深圳市南山区民政局,公明水利工程管理站,,,,横岭警务室,,,,,,,,,,,,,,罗湖区家庭暴力防护中心,,,,,大浪社区工作站残疾人协会,
,深圳出口加工区招商处,深圳市南山区组织人事信息中心,公明镇人民政府,,,,候机楼派出所,,,,,,,,,,,,,,莲塘劳动服务管理所,,,,,东方社区团员青年服务中心,
,深圳市计划生育药具管理站,深圳市南山区编委办,公明劳动管理办公室(别墅路),,,,黄田派出所,,,,,,,,,,,,,,罗湖区出租屋综合管理办公室莲塘所,,,,,东塘社区妇女维权工作站,
,深圳市社会捐助接收管理服务中心(新闻大厦),深圳市交通运输委员会南山区行政业务窗口,公明人民调解委员会办公室,,,,河西社区警务室,,,,,,,,,,,,,,罗湖区莲塘街道办事处信访办公室,,,,,东方社区团员青年服务中心,
,深圳市监督局,深圳市物价局南山分局,观城工作站,,,,河西社区警务室,,,,,,,,,,,,,,罗湖区莲塘街道劳动保障事务所,,,,,第26届世界大学生夏季运动会,
,深圳市路灯管理处,深圳市质量技术监督局罗湖分局,公明街道查处违法建筑领导小组办公室,,,,皇岗口岸派出所,,,,,,,,,,,,,,罗湖区莲塘街道人民调解委员会,,,,,大浪社区居委计划生育协会,
,深圳市灯光环境管理中心,深圳市道桥维修中心罗湖工区,公明镇人民政府,,,,黄贝派出所户籍办证室,,,,,,,,,,,,,,罗湖区贸易工业局,,,,,大鹏街道鹏城社区社区残疾人协会,
,深圳市住宅工程管理站,深圳市罗湖区物价检查所,光明人民调解委员会,,,,黄贝派出所治安报警点,,,,,,,,,,,,,,莲花二村管理服务中心,,,,,东塘社区妇女维权工作站,
,深圳市通信管理局,深圳市社会保险管理中心罗湖管理处,观澜街道城市管理行政执法队,,,,黄贝派出所户籍办证室,,,,,,,,,,,,,,莲花村工作社区工作站,,,,,大浪街道龙胜社区老年人协会,
,深圳市食品药品监督稽查大队,深圳市罗湖区劳动局,观澜街道劳动管理办公室,,,,黄田派出所,,,,,,,,,,,,,,丽湖社区居委会计划生育委员会,,,,,大鹏镇鹏城幼儿园工会委员会,
,深圳市建设安全文明小区领导小组办公室,深圳市罗湖区国家税务局,黄贝街道办事处,,,,候机楼派出所,,,,,,,,,,,,,,龙岗镇同乐村委委员会环境保护管理办公室,,,,,鹅公岭社区残疾人协会,
,深圳市审计局经济责任审计专业局,深圳市烟草专卖局罗湖分局,华富街道办事处,,,,海山派出所(碧桐海苑南),,,,,,,,,,,,,,龙岗街道同乐社区维稳及综治办,,,,,鹅公岭社区老年人协会,
,深圳市中小企业上市培育工程领导小组办公室,深圳市路灯管理处罗湖工区,横岗街道外来务工人员服务中心,,,,海山派出所,,,,,,,,,,,,,,龙岗区南湾街道办事处信访办公室,,,,,福田保税区工会联合会,
,深圳市渔政渔港监督管理处(新洲路),深圳市罗湖区政府,横岗街道劳动服务中心,,,,黄田派出所打两抢工作点,,,,,,,,,,,,,,龙岗街道同乐社区基建管理办公室,,,,,福田环保产业协会,
,深圳市绿化委员会,深圳市罗湖区财政局会计事务管理科,横岗街道大综管(综治信访维稳)中心诉求服务平台,,,,候机楼派出所,,,,,,,,,,,,,,龙岗区南湾街道人民调解委员会,,,,,福永商会（工商联,
,深圳市野生动植物保护管理处,深圳市罗湖区政府,横岗街道办事处,,,,黄田派出所,,,,,,,,,,,,,,龙岗区消费者委员会布吉消费者监督站,,,,,凤凰会-文化精英俱乐部,
,深圳市民营及中小企业工作协调小组办公室,深圳市罗湖区人大常委会,黄埔商业街管理委,,,,华富派出所,,,,,,,,,,,,,,龙华街道油松社区瓦窑排“平安和谐”小区创建办公室,,,,,富隆特工业园员工之家,
,深圳渔港监督处,深圳市防洪设施管理处福田排涝站,横岗街道办城管机关工会委员会,,,,海山派出所,,,,,,,,,,,,,,龙华出租屋综合管理所,,,,,福永街道潮乐文化促进会,
,深圳市民营企业投诉中心,深圳市盐田区三洲田护林站,横岗街道大综管(综治信访维稳)中心诉求服务平台,,,,海山派出所(碧桐海苑南),,,,,,,,,,,,,,龙塘社区工作站,,,,,福田足协,
,深圳市房屋公用设施专用基金管理中心,深圳市盐田道桥管理所,横岗街道办事处,,,,荷坳派出所户证厅,,,,,,,,,,,,,,龙津服装有限公司人民调解委员会,,,,,福华社区计生协,
,深圳市监察局,深圳市路灯管理处盐田工区,横岗街道劳动服务中心,,,,何屋社区警务室,,,,,,,,,,,,,,龙华镇下早禾坑村办公室,,,,,福安社区工会工作委员会,
,深圳市民防委员会办公室,深圳市口岸管理服务中心沙头角管理处盐田管理科,横岗街道外来务工人员服务中心,,,,华富派出所,,,,,,,,,,,,,,龙园社区劳动和社会保障服务窗口,,,,,福华社区残疾人协会,
,深圳市人口和计划生育局,深圳市规划局滨海分局,海山街道海景社区居民委员会,,,,横岗派出所,,,,,,,,,,,,,,龙华街道上塘社区市政管理办公室,,,,,福田街道福安社区老年人协会,
,深圳市外事(侨务)办公室,深圳市市场监督管理局盐田分局盐田监督管理科(三科),黄埔商业街管理委,,,,华富街道田面治保会,,,,,,,,,,,,,,龙华街道景龙社区工作站,,,,,福田街道福安社区工会工作委员会,
,深圳市规划和国土资源委员会(福中三路),深圳市物价局盐田分局,横岗街道办城管机关工会委员会,,,,荷坳派出所户证厅,,,,,,,,,,,,,,龙华街道人民调解委员会社会矛盾排查调解中心,,,,,福田区爱护动物协会,
,深圳市新闻出版局,深圳市盐田区物价检查所,海山街道海景社区居民委员会,,,,嘉南社区治安保卫委员会,,,,,,,,,,,,,,龙华街道原村民非商品住宅建设工作领导小组办公室,,,,,福华社区妇女儿童工作委员会,
,深圳市发展和改革局,深圳市盐田区施工安全监督站,坑梓镇人民政府,,,,建南社区警务室,,,,,,,,,,,,,,龙华梅苑商业中心管理处,,,,,福田区福田街道老年协会,
,深圳市科技和信息局,深圳市盐田区健康教育所,坑梓办事处征地拆迁事务中心工会委员会,,,,景田治安联防大队梅富中队,,,,,,,,,,,,,,龙华街道城市化土地遗留问题处理工作领导小组办公室,,,,,福安社区残疾人联合会,
,深圳市国有资产监督管理局,深圳市盐田区工程质量监督检验站,坑梓办事处拆迁管理办公室,,,,景桦社区警务室,,,,,,,,,,,,,,流塘安防办公室,,,,,福华社区科协,
,深圳市人民政府港澳事务办公室,深圳市盐田区劳动就业管理办公室,坑梓镇人民政府,,,,景田派出所,,,,,,,,,,,,,,龙华街道龙胜社区居民委员会人民调解委员会,,,,,福田区华富街道田面社区老年人协会,
,深圳市路灯管理处,深圳市盐田区劳动信访办公室,坑梓街道爱国卫生运动委员会办公室,,,,机场公安分局,,,,,,,,,,,,,,龙华街道三联社区居民委员会人民调解委员会,,,,,福田街道福安社区科学技术协会,
,深圳市交通局客运管理分局,深圳市盐田区政府采购中心,坑梓镇人民政府,,,,机场派出所物流园警务室,,,,,,,,,,,,,,龙岗街道同乐社区应急办公室,,,,,福田区个体劳动者协会福田分会,
,深圳市城市管理行政执法监察支队,深圳市盐田区工程质量监督检验站,龙华区环境保护和水务局龙华管理所,,,,景龙社区综治信访维稳工作站,,,,,,,,,,,,,,龙塘社区劳动保障服务窗口,,,,,福田区个体劳动者协会白沙岭分会,
,深圳市住宅工程管理站,深圳市药品监督管理局龙岗分局,龙华街道农村城市化历史遗留违法建筑信息普查工作办公室,,,,景龙社区警务室,,,,,,,,,,,,,,罗湖区消费者委员会清水河监督站,,,,,福安社区妇女工作委员会,
,深圳市通信管理局,深圳市龙岗区劳动局,罗湖区城市管理行政执法局南湖街道执法队,,,,景田派出所,,,,,,,,,,,,,,罗湖社区消防安全委员会,,,,,福田区个体劳动者协会福田分会,
,深圳市食品药品监督稽查大队,深圳市龙岗区劳动局信访室,罗湖区城管行政执法局东门执法队,,,,康欣社区警务室,,,,,,,,,,,,,,罗湖区老围社区出租屋综合管理办公室综合管理站,,,,,福田区个体劳动者协会莲花分会,
,深圳海关缉私局(和平路),深圳市国土资源和房产管理局龙岗分局,罗湖区城市管理行政执法局东门街道执法队,,,,坑梓派出所(人民西路),,,,,,,,,,,,,,梅园社区居委会社保服务窗口,,,,,福田区体育总会香蜜湖街道分会,
,深圳海关缉私局(新安路),深圳市龙岗区路桥应急抢修中心,罗湖区东门街道办事处信访办公室,,,,坑梓派出所(吉康路),,,,,,,,,,,,,,梅园社区居委会计划生育委员会,,,,,福田区创新企业投融资联合会,
,深圳市农业局,深圳市交通运输行政执法支队龙岗大队,罗湖区南湖街道人民调解委员会,,,,快速代办车辆全省违章,,,,,,,,,,,,,,梅园社区居委会公共卫生委员会,,,,,福田区个体劳动者协会莲花分会,
,深圳市计划生育药具管理站,深圳市建设工程交易服务中心龙岗分中心(行政路),六联社区李屋居民小组,,,,坑梓派出所(吉康路),,,,,,,,,,,,,,梅园社区居委会人民调解委员会,,,,,福田区个体劳动者委员会香蜜湖分会,
,深圳市技术引进咨询评议办公室,深圳市龙岗区档案局(馆),龙岗区城市管理行政执法局平湖街道执法队,,,,坑梓派出所(人民西路),,,,,,,,,,,,,,梅园社区居委会消防安全委员会,,,,,福田区个体劳动者协会上梅林分会,
,深圳市企业调查队,深圳市房地产权登记中心宝安登记点,龙岗区龙城街道劳动管理站,,,,兰园社区警务室,,,,,,,,,,,,,,梅园社区居委会计划生育协会,,,,,福田区体育总会梅林街道分会,
,深圳市深台经济文化交流服务中心,深圳市物价局宝安分局,龙城街道办事处环境保护管理所,,,,荔芳社区警务室,,,,,,,,,,,,,,梅富社区劳动保障窗口,,,,,凤凰会文化精英俱乐部,
,深圳船舶检验局,深圳市住房公积金管理中心宝安办事大厅,龙岗区地政监察大队龙城分队,,,,罗湖中学警务室,,,,,,,,,,,,,,梅富社区消防安全委员会,,,,,福田区上步工业区业主委员会,
,深圳市老龄工作委员会办公室,深圳市宝安区史志办公室,龙岗区人大常委会龙城街道工作委员会,,,,罗湖桥社区警务室,,,,,,,,,,,,,,民防委员会办公室,,,,,福田区园岭街道归国华侨联合会,
,深圳市质量技术监督稽查大队,深圳市食品药品监督管理局宝安分局,龙岗街道城市化土地转制工作领导小组办公室,,,,罗湖口岸派出所,,,,,,,,,,,,,,茂业社区劳动保障窗口,,,,,福田区体育总会园岭街道分会,
,深圳市生产力促进中心,深圳市宝安区企业服务中心,龙岗区龙城街道城市更新办公室,,,,罗湖公安分局巡警大队,,,,,,,,,,,,,,木棉社区木棉湾居民小组综合事务管理办,,,,,福田区个体劳动者协会南园分会,
,深圳市打假工作领导小组办公室,深圳市宝安区农林渔业局,龙岗区公路局坪山公路管理局,,,,罗湖公安分局出入境管理科,,,,,,,,,,,,,,马安山社区关爱老龄党员工作办公室,,,,,福田区个体劳动者协会金沙分会,
,深圳市住房公积金管理中心办事大厅,深圳市宝安区劳动信访办公室,龙岗街道普及法律常识办公室,,,,罗湖公安分局巡警大队,,,,,,,,,,,,,,梅园社区居委会维权工作站,,,,,福田区个体劳动者协会,
,深圳市房地产估价中心,深圳市宝安区劳动局工会委员会,龙岗街道城市管理办公室,,,,罗湖公安分局警务室,,,,,,,,,,,,,,南山区建筑工务局,,,,,福民社区计生协,
,深圳市查处违法建筑工作办公室,深圳市房地产权登记中心宝安登记点,龙岗镇处理历史遗留违法建筑领导小组办公室,,,,罗湖公安局出入境接待大厅,,,,,,,,,,,,,,南头街道办事处南头城片区信访及人民调解室,,,,,福保街道新港社区科协,
,深圳市贸促会,深圳市宝安区劳动局,龙岗区人大常委会坑梓街道工作委员会,,,,罗湖综治建中社区维护稳定及社会治安综合治理办公室,,,,,,,,,,,,,,南山办事处北头居委会安全文明小区办公室,,,,,福田街道办事处福民社区区计划生育协会之家,
,深圳市灯光环境管理中心,深圳市宝安区普法办公室,龙城街道办事处市政服务中心,,,,罗湖公安分局黄贝岭社区警务室,,,,,,,,,,,,,,南头城四队管理办公室,,,,,福田街道福民社区老年人协会,
,山厦市政协,深圳市宝安区企业服务中心,龙岗区城市管理行政执法局龙城执法队,,,,罗湖区治安联防协会东晓理事会东晓中队,,,,,,,,,,,,,,南山区蛇口街道劳动保障事务所,,,,,福田区妇联,
,深圳海关邮政快件监管中心(下梅林一街),深圳市宝安区物业管理办公室,龙岗区人大常委会平湖街道工会委员会,,,,罗湖区翠竹街道新村维护稳定及社会治安综合治理办公室,,,,,,,,,,,,,,南联社区劳动和社会保障窗口,,,,,福田街道海滨社区工会工作委员会,
,深圳特区管理线鸡场工作口,深圳市宝安区劳动就业管理中心,龙岗镇人民政府,,,,莲塘派出所(莲塘路),,,,,,,,,,,,,,南头街道办事处南头城社区计生协会会员之家,,,,,福民社区科协,
,深圳市国有资产监管委,深圳海关驻宝安办事处,龙岗街道办事处市政服务中心,,,,莲塘派出所(莲塘路),,,,,,,,,,,,,,南山区环境卫生局,,,,,福田区妇联,
,深圳市法制局,深圳市宝安区劳动就业管理中心,龙岗街道关心下一代工作委员会,,,,莲花治安联防大队彩虹中队,,,,,,,,,,,,,,南山区南头街道办事处信访办事处,,,,,福田区个体劳动者协会皇岗分会,
,深圳出口加工区招商处,深圳市宝安区人大代表联络站,龙岗区公路局平湖公路管理所,,,,莲花山公园警务室,,,,,,,,,,,,,,南苑新村旧改筹备办公室,,,,,福田街道海滨社区关心下一代工作委员会,
,深圳市规划土地监察局,深圳市龙岗房地产交易中心,龙城街道办事处文体服务中心,,,,莲花二村社区警务室,,,,,,,,,,,,,,南山区综治信访维稳中心,,,,,福田街道福民社区妇女工作委员会,
,深圳市审计局经济责任审计专业局,深圳市龙岗区防汛防旱防风指挥部,龙城街道流动人口和出租屋综合管理处,,,,李朗派出所,,,,,,,,,,,,,,南头街道大新社区工作站,,,,,福田区福保街道新港社区居委会计生协,
,深圳市外事服务中心,深圳市龙岗区河流污染治理办公室,龙岗区工程质量监督检验站坪山分站,,,,里石排社区警务室,,,,,,,,,,,,,,南头街道处理农村城市化历史遗留违法建筑办公室,,,,,福民社区残联,
,深圳市科学技术局,深圳市龙岗区动物卫生监督所,龙岗区城市管理行政执法局龙岗街道执法队,,,,六约派出所户证室,,,,,,,,,,,,,,南山区环境卫生局,,,,,福田街道福山社区老年人协会,
,深圳市城市社会经济调查队,深圳市龙岗区防洪防风避险中心(山子下路),龙岗街道办事处,,,,龙岗派出所(龙园路),,,,,,,,,,,,,,南山区南头街道办事处信访办事处,,,,,福田街道福山社区妇女工作委员会,
,深圳市劳动和社会保障局劳动和社会保险监察处,深圳市质量技术监督局福田分局,龙岗区布吉街道劳动服务中心,,,,龙岗区公安分局,,,,,,,,,,,,,,南山区计划生育药具管理站,,,,,福田街道福山社区计划生育协会,
,深圳市股份合作经济组织联合会,深圳市福田区食品卫生管理中心,龙岗区布吉街道工作人大常委会,,,,龙岗公交派出所,,,,,,,,,,,,,,南山区南山街道社会治安综合治理委员会办公室,,,,,福田街道福山社区关心下一代工作委员会,
,深圳市农业转基因生物安全管理站,深圳市物价局南山分局,龙岗区人大常委会坪山街道工作委员会,,,,龙岗区布吉镇坂田村治安联防队,,,,,,,,,,,,,,南山区南山街道信访办事处,,,,,福田街道福山社区科学技术协会,
